Hebi 1 torque	Hebi 2 torque	M3 torque
0.992972	0.018156	-0.00647789	
0.960868	-0.00979255	0.0079028	
0.932821	0.0326288	-0.0135838	
0.880914	0.057051	0.0232374	
0.861168	-0.0370199	-0.0174189	
0.864067	0.0672228	0.0202316	
0.831944	0.0323876	-0.030269	
0.839781	-0.041632	0.0179237	
0.874577	0.049852	0.0217758	
0.866928	-0.00349375	-0.0321451	
0.882956	0.0127405	-0.0037054	
0.88945	0.0387861	0.0337448	
0.876751	-0.0367877	-0.031425	
0.899406	0.0330054	0.0214879	
0.910929	-0.029999	-0.0271017	
0.92114	-0.0132945	-0.00135356	
0.911859	0.0327957	0.0252231	
0.905582	-0.00854773	-0.0233146	
0.926999	-0.0354768	-0.00253539	
0.849442	0.0375749	0.0144966	
0.945353	-0.0128169	0.00158153	
0.936718	-0.00129037	0.0185223	
0.928179	-0.064837	-0.0358146	
0.927918	0.0242002	0.0395096	
0.945914	-0.0177783	-0.0339125	
0.937217	0.00627025	-0.0023014	
0.945318	-0.0845766	-0.00708306	
0.97762	0.0333136	0.00247082	
0.943052	0.0492454	0.0296523	
0.947466	-0.022231	-0.0243898	
0.963514	-0.0467025	0.00596955	
0.979926	-0.0422835	-0.00999826	
0.979417	0.0145224	0.00142252	
0.983934	-0.0491854	-0.00321146	
0.996599	-0.00805133	0.00629594	
0.978516	0.0112053	0.0151901	
0.975261	-0.0247398	-0.00325537	
0.986178	-0.0873947	-0.0138871	
0.998633	-0.00956773	-0.00147961	
0.976696	0.0475598	0.0326042	
0.988441	-0.159266	-0.0457927	
1.02128	0.0253344	0.0115994	
0.988027	0.0124183	0.0347714	
0.98267	-0.0244343	-0.0182468	
0.996658	-0.0442977	0.00387759	
1.0017	-0.0438314	-0.0158086	
1.00252	-0.00767169	-0.000545855	
1.00007	-0.0812418	-0.0139776	
1.01271	0.0452742	0.0451013	
1.00493	-0.0695335	-0.0328336	
1.01759	-0.0132217	0.0165316	
1.02034	-0.0542149	-0.0167164	
1.02403	-0.046996	0.00570646	
1.02889	-0.0382582	-0.00519511	
1.03692	-0.119929	-0.0307287	
1.0477	0.0649264	0.0230712	
1.0272	-0.034836	0.00632487	
1.01342	0.00214259	0.0219549	
1.01562	-0.0204403	-0.0332291	
1.04082	-0.067129	0.00543877	
1.03759	-0.0608572	-0.00687303	
1.05793	-0.0262706	0.00336185	
1.05028	-0.00767827	0.00769384	
1.01436	-0.0419386	0.0449993	
1.06191	-0.0424303	-0.0285971	
1.04795	-0.166077	-0.0508256	
1.09219	-0.0956059	0.0263097	
1.04817	0.035489	-0.0120926	
1.06053	-0.00844585	0.00225535	
1.04248	-0.00143961	0.00543608	
1.04115	-0.0450738	0.0101837	
1.0719	-0.0341132	-0.0084416	
1.06471	-0.0103436	0.00924442	
1.0589	-0.00949403	-0.00171733	
1.05532	-0.0194766	-0.00872587	
1.0776	-0.076655	0.000431169	
1.07411	-0.013681	9.14842e-05	
1.07899	-0.0320103	0.00155252	
1.08706	-0.0291548	0.00200981	
1.02405	0.0102757	0.0955446	
1.10157	-0.0775344	-0.0856924	
1.11489	-0.0623178	-0.00688184	
1.09306	-0.0249218	-0.00222814	
